barcode	disease	Site.Primary	Histology	Hist.Subtype1	tcga.tumor	CCLE.name
CHP126	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	CHP126_AUTONOMIC_GANGLIA
CHP212	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	CHP212_AUTONOMIC_GANGLIA
IMR32	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	IMR32_AUTONOMIC_GANGLIA
KELLY	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	KELLY_AUTONOMIC_GANGLIA
KPNRTBM1	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	KPNRTBM1_AUTONOMIC_GANGLIA
KPNSI9S	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	KPNSI9S_AUTONOMIC_GANGLIA
KPNYN	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	KPNYN_AUTONOMIC_GANGLIA
MHHNB11	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	MHHNB11_AUTONOMIC_GANGLIA
NB1	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	NB1_AUTONOMIC_GANGLIA
NH6	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	NH6_AUTONOMIC_GANGLIA
SIMA	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	SIMA_AUTONOMIC_GANGLIA
SKNAS	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	SKNAS_AUTONOMIC_GANGLIA
SKNDZ	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	SKNDZ_AUTONOMIC_GANGLIA
SKNFI	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	SKNFI_AUTONOMIC_GANGLIA
HUCCT1	CHOL	biliary_tract	carcinoma	NS	CHOL	HUCCT1_BILIARY_TRACT
SNU1079	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU1079_BILIARY_TRACT
SNU1196	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU1196_BILIARY_TRACT
SNU245	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU245_BILIARY_TRACT
SNU308	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU308_BILIARY_TRACT
SNU478	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU478_BILIARY_TRACT
SNU869	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU869_BILIARY_TRACT
CAL78	SARC	bone	chondrosarcoma	dedifferentiated	chondrosarcoma	CAL78_BONE
HS819T	SARC	bone	chondrosarcoma	NS	chondrosarcoma	HS819T_BONE
SW1353	SARC	bone	chondrosarcoma	NS	chondrosarcoma	SW1353_BONE
A673	SARC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Ewings sarcoma peripheral primitive neuroectodermal tumour	A673_BONE
CADOES1	SARC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Ewings sarcoma peripheral primitive neuroectodermal tumour	CADOES1_BONE
HS822T	SARC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Ewings sarcoma peripheral primitive neuroectodermal tumour	HS822T_BONE
HS863T	SARC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Ewings sarcoma peripheral primitive neuroectodermal tumour	HS863T_BONE
MHHES1	SARC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Ewings sarcoma peripheral primitive neuroectodermal tumour	MHHES1_BONE
RDES	SARC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Ewings sarcoma peripheral primitive neuroectodermal tumour	RDES_BONE
SKES1	SARC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Ewings sarcoma peripheral primitive neuroectodermal tumour	SKES1_BONE
SKNMC	SARC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Ewings sarcoma peripheral primitive neuroectodermal tumour	SKNMC_BONE
TC71	SARC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Ewings sarcoma peripheral primitive neuroectodermal tumour	TC71_BONE
HS870T	SARC	bone	osteosarcoma	NS	osteosarcoma	HS870T_BONE
HS888T	SARC	bone	osteosarcoma	NS	osteosarcoma	HS888T_BONE
MG63	SARC	bone	osteosarcoma	NS	osteosarcoma	MG63_BONE
SAOS2	SARC	bone	osteosarcoma	NS	osteosarcoma	SAOS2_BONE
SJSA1	SARC	bone	osteosarcoma	NS	osteosarcoma	SJSA1_BONE
T173	SARC	bone	osteosarcoma	NS	osteosarcoma	T173_BONE
U2OS	SARC	bone	osteosarcoma	NS	osteosarcoma	U2OS_BONE
HS706T	SARC	bone	giant_cell_tumour	NS	other	HS706T_BONE
HS737T	SARC	bone	other	giant_cell_tumour	other	HS737T_BONE
HS821T	SARC	bone	giant_cell_tumour	NS	other	HS821T_BONE
HOS	SARC	bone	osteosarcoma	NS	yes	HOS_BONE
AU565	BRCA	breast	carcinoma	NS	BRCA	AU565_BREAST
BT20	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	BT20_BREAST
BT474	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	BT474_BREAST
BT483	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	BT483_BREAST
BT549	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	BT549_BREAST
CAL120	BRCA	breast	carcinoma	NS	BRCA	CAL120_BREAST
CAL148	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	CAL148_BREAST
CAL51	BRCA	breast	carcinoma	NS	BRCA	CAL51_BREAST
CAL851	BRCA	breast	carcinoma	NS	BRCA	CAL851_BREAST
CAMA1	BRCA	breast	carcinoma	NS	BRCA	CAMA1_BREAST
DU4475	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	DU4475_BREAST
EFM19	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	EFM19_BREAST
EFM192A	BRCA	breast	carcinoma	NS	BRCA	EFM192A_BREAST
HCC1143	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC1143_BREAST
HCC1187	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC1187_BREAST
HCC1395	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC1395_BREAST
HCC1419	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC1419_BREAST
HCC1428	BRCA	breast	carcinoma	NS	BRCA	HCC1428_BREAST
HCC1500	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC1500_BREAST
HCC1569	BRCA	breast	carcinoma	metaplastic_carcinoma	BRCA	HCC1569_BREAST
HCC1599	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC1599_BREAST
HCC1806	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC1806_BREAST
HCC1937	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC1937_BREAST
HCC1954	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC1954_BREAST
HCC202	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC202_BREAST
HCC2157	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC2157_BREAST
HCC2218	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC2218_BREAST
HCC38	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC38_BREAST
HCC70	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HCC70_BREAST
HDQP1	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HDQP1_BREAST
HMC18	BRCA	breast	carcinoma	NS	BRCA	HMC18_BREAST
HS281T	BRCA	breast	carcinoma	NS	BRCA	HS281T_BREAST
HS343T	BRCA	breast	carcinoma	NS	BRCA	HS343T_BREAST
HS578T	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	HS578T_BREAST
HS606T	BRCA	breast	carcinoma	NS	BRCA	HS606T_BREAST
HS739T	BRCA	breast	carcinoma	NS	BRCA	HS739T_BREAST
HS742T	BRCA	breast	carcinoma	NS	BRCA	HS742T_BREAST
JIMT1	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	JIMT1_BREAST
KPL1	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	KPL1_BREAST
MCF7	BRCA	breast	carcinoma	NS	BRCA	MCF7_BREAST
MDAMB134VI	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	MDAMB134VI_BREAST
MDAMB157	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	MDAMB157_BREAST
MDAMB175VII	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	MDAMB175VII_BREAST
MDAMB231	BRCA	breast	carcinoma	NS	BRCA	MDAMB231_BREAST
MDAMB361	BRCA	breast	carcinoma	NS	BRCA	MDAMB361_BREAST
MDAMB415	BRCA	breast	carcinoma	NS	BRCA	MDAMB415_BREAST
MDAMB436	BRCA	breast	carcinoma	NS	BRCA	MDAMB436_BREAST
MDAMB453	BRCA	breast	carcinoma	NS	BRCA	MDAMB453_BREAST
MDAMB468	BRCA	breast	carcinoma	NS	BRCA	MDAMB468_BREAST
SKBR3	BRCA	breast	carcinoma	NS	BRCA	SKBR3_BREAST
T47D	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	T47D_BREAST
UACC812	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	UACC812_BREAST
UACC893	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	UACC893_BREAST
ZR751	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	ZR751_BREAST
ZR7530	BRCA	breast	carcinoma	ductal_carcinoma	BRCA	ZR7530_BREAST
42MGBA	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	42MGBA_CENTRAL_NERVOUS_SYSTEM
8MGBA	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	8MGBA_CENTRAL_NERVOUS_SYSTEM
A172	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	A172_CENTRAL_NERVOUS_SYSTEM
AM38	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	AM38_CENTRAL_NERVOUS_SYSTEM
CAS1	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	CAS1_CENTRAL_NERVOUS_SYSTEM
CCFSTTG1	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM
DBTRG05MG	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
DKMG	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	DKMG_CENTRAL_NERVOUS_SYSTEM
GAMG	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	GAMG_CENTRAL_NERVOUS_SYSTEM
GB1	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	GB1_CENTRAL_NERVOUS_SYSTEM
GMS10	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	GMS10_CENTRAL_NERVOUS_SYSTEM
GOS3	GBM	central_nervous_system	glioma	astrocytoma	GBMLGG	GOS3_CENTRAL_NERVOUS_SYSTEM
KALS1	GBM	central_nervous_system	glioma	NS	GBMLGG	KALS1_CENTRAL_NERVOUS_SYSTEM
KG1C	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	KG1C_CENTRAL_NERVOUS_SYSTEM
KNS42	GBM	central_nervous_system	glioma	NS	GBMLGG	KNS42_CENTRAL_NERVOUS_SYSTEM
KNS60	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	KNS60_CENTRAL_NERVOUS_SYSTEM
KNS81	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	KNS81_CENTRAL_NERVOUS_SYSTEM
KS1	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	KS1_CENTRAL_NERVOUS_SYSTEM
LN18	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	LN18_CENTRAL_NERVOUS_SYSTEM
LN229	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	LN229_CENTRAL_NERVOUS_SYSTEM
M059K	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	M059K_CENTRAL_NERVOUS_SYSTEM
SF126	GBM	central_nervous_system	glioma	astrocytoma	GBMLGG	SF126_CENTRAL_NERVOUS_SYSTEM
SF295	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	SF295_CENTRAL_NERVOUS_SYSTEM
SNU1105	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	SNU1105_CENTRAL_NERVOUS_SYSTEM
SNU201	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	SNU201_CENTRAL_NERVOUS_SYSTEM
SNU466	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	SNU466_CENTRAL_NERVOUS_SYSTEM
SNU489	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	SNU489_CENTRAL_NERVOUS_SYSTEM
SNU626	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	SNU626_CENTRAL_NERVOUS_SYSTEM
T98G	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	T98G_CENTRAL_NERVOUS_SYSTEM
U251MG	GBM	central_nervous_system	glioma	astrocytoma	GBMLGG	U251MG_CENTRAL_NERVOUS_SYSTEM
U87MG	GBM	central_nervous_system	glioma	astrocytoma	GBMLGG	U87MG_CENTRAL_NERVOUS_SYSTEM
YH13	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	YH13_CENTRAL_NERVOUS_SYSTEM
YKG1	GBM	central_nervous_system	glioma	astrocytoma_Grade_IV	GBMLGG	YKG1_CENTRAL_NERVOUS_SYSTEM
U118MG	GBM	central_nervous_system	glioma	astrocytoma		U118MG_CENTRAL_NERVOUS_SYSTEM
GI1	LGG	central_nervous_system	glioma	gliosarcoma	GBMLGG	GI1_CENTRAL_NERVOUS_SYSTEM
H4	LGG	central_nervous_system	glioma	NS	GBMLGG	H4_CENTRAL_NERVOUS_SYSTEM
HS683	LGG	central_nervous_system	glioma	NS	GBMLGG	HS683_CENTRAL_NERVOUS_SYSTEM
NMCG1	LGG	central_nervous_system	glioma	NS	GBMLGG	NMCG1_CENTRAL_NERVOUS_SYSTEM
SNU738	LGG	central_nervous_system	glioma	oligodendroglioma	GBMLGG	SNU738_CENTRAL_NERVOUS_SYSTEM
SW1088	LGG	central_nervous_system	glioma	NS	GBMLGG	SW1088_CENTRAL_NERVOUS_SYSTEM
SW1783	LGG	central_nervous_system	glioma	astrocytoma_Grade_III	GBMLGG	SW1783_CENTRAL_NERVOUS_SYSTEM
TM31	LGG	central_nervous_system	glioma	astrocytoma	GBMLGG	TM31_CENTRAL_NERVOUS_SYSTEM
D283MED	OTHER	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma	NS	primitive neuroectodermal tumour medulloblastoma	D283MED_CENTRAL_NERVOUS_SYSTEM
D341MED	OTHER	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma	NS	primitive neuroectodermal tumour medulloblastoma	D341MED_CENTRAL_NERVOUS_SYSTEM
DAOY	OTHER	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma	NS	primitive neuroectodermal tumour medulloblastoma	DAOY_CENTRAL_NERVOUS_SYSTEM
ONS76	OTHER	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma	NS	primitive neuroectodermal tumour medulloblastoma	ONS76_CENTRAL_NERVOUS_SYSTEM
AN3CA	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	AN3CA_ENDOMETRIUM
HEC108	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	HEC108_ENDOMETRIUM
HEC151	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	HEC151_ENDOMETRIUM
HEC1A	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	HEC1A_ENDOMETRIUM
HEC1B	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	HEC1B_ENDOMETRIUM
HEC251	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	HEC251_ENDOMETRIUM
HEC265	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	HEC265_ENDOMETRIUM
HEC50B	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	HEC50B_ENDOMETRIUM
HEC59	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	HEC59_ENDOMETRIUM
HEC6	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	HEC6_ENDOMETRIUM
JHUEM1	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	JHUEM1_ENDOMETRIUM
JHUEM2	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	JHUEM2_ENDOMETRIUM
JHUEM3	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	JHUEM3_ENDOMETRIUM
KLE	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	KLE_ENDOMETRIUM
MFE280	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	MFE280_ENDOMETRIUM
MFE296	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	MFE296_ENDOMETRIUM
MFE319	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	MFE319_ENDOMETRIUM
SNGM	UCEC	endometrium	carcinoma	adenocarcinoma	endometrium adenocarcinoma	SNGM_ENDOMETRIUM
COLO684	UCEC	endometrium	carcinoma	adenocarcinoma	UCEC	COLO684_ENDOMETRIUM
EFE184	UCEC	endometrium	carcinoma	NS	UCEC	EFE184_ENDOMETRIUM
EN	UCEC	endometrium	carcinoma	NS	UCEC	EN_ENDOMETRIUM
ESS1	UCEC	endometrium	carcinoma	carcinosarcoma-malignant_mesodermal_mixed_tumour	UCEC	ESS1_ENDOMETRIUM
JHUEM7	UCEC	endometrium	carcinoma	adenocarcinoma	UCEC	JHUEM7_ENDOMETRIUM
RL952	UCEC	endometrium	carcinoma	mixed_adenosquamous_carcinoma	UCEC	RL952_ENDOMETRIUM
SNU1077	UCEC	endometrium	carcinoma	carcinosarcoma-malignant_mesodermal_mixed_tumour	UCEC	SNU1077_ENDOMETRIUM
SNU685	UCEC	endometrium	carcinoma	carcinosarcoma-malignant_mesodermal_mixed_tumour	UCEC	SNU685_ENDOMETRIUM
TEN	UCEC	endometrium	carcinoma	clear_cell_carcinoma	UCEC	TEN_ENDOMETRIUM
BCP1	OTHER	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	B cell lymphoma unspecified	BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CI1	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	B cell lymphoma unspecified	CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HT	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	B cell lymphoma unspecified	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MC116	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	B cell lymphoma unspecified	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NUDUL1	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	B cell lymphoma unspecified	NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RI1	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	B cell lymphoma unspecified	RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RL	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	B cell lymphoma unspecified	RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
A3KAW	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
A4FUK	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DB	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DOHH2	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KARPAS422	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NUDHL1	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCILY19	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCILY3	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PFEIFFER	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUDHL10	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUDHL4	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUDHL5	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUDHL6	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUDHL8	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
TOLEDO	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
U937	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
WSUDLCL2	DLBC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DLBC	WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
AML193	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
EOL1	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
F36P	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
GDM1	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HEL	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HEL9217	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HL60	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KASUMI1	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KASUMI6	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KG1	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
M07E	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ME1	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MOLM13	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MOLM16	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MONOMAC1	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MONOMAC6	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MV411	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NB4	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NOMO1	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCIAML2	LAML	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	LAML	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
